query_id,query_date,phase,query_text,source_domain,candidate_result_count,candidate_source_ids,included_source_ids,excluded_source_ids,exclusion_reasons,notes,p1b_run_id,discovery_source,verification_status,manual_followup
P1-SP-DARPA-01,2026-08-25,P1,decisions aligned human experts,darpa.mil/api/search,10,T0-SP-001;T0-SP-002;T0-SP-003;T0-SP-004;T0-SP-005;T0-SP-006,,,"Raw page includes post-cutoff, pre-window, and weakly related hits; inaccessible official alternatives were not entered.",raw_total=690; first 10 raw hits retained in raw_strategy_policy.json; all manifest rows remain candidate; no include decision. run_id=P1-20260825T081142Z-7f4c9b,,,,
P1-SP-CSET-01,2026-08-25,P1,governance,cset.georgetown.edu/wp-json/wp/v2/document,10,T0-SP-001;T0-SP-002;T0-SP-003;T0-SP-004;T0-SP-005;T0-SP-006,,,Raw results were discovery hits; relevance and original-page date were verified separately.,raw_total=10; first 10 raw hits retained in raw_strategy_policy.json; all manifest rows remain candidate; no include decision. run_id=P1-20260825T081142Z-7f4c9b,,,,
P1-PB-DARPA-01,2026-08-25,P1,AI enabled radios mission autonomy AI agents,darpa.mil/api/search,10,T0-PB-001;T0-PB-002;T0-PB-003;T0-PB-004;T0-PB-005;T0-PB-006,,,Raw page includes post-cutoff and non-target program/staff hits; only directly relevant T0 original pages entered as candidates.,raw_total=1080; first 10 raw hits retained in raw_program_budget.json; all manifest rows remain candidate; no include decision. run_id=P1-20260825T081142Z-7f4c9b,,,,
P1-PB-CSET-01,2026-08-25,P1,contracts,cset.georgetown.edu/wp-json/wp/v2/document,10,T0-PB-001;T0-PB-002;T0-PB-003;T0-PB-004;T0-PB-005;T0-PB-006,,,Raw results include non-U.S. or non-military items; weak or non-target hits were not entered.,raw_total=10; first 10 raw hits retained in raw_program_budget.json; all manifest rows remain candidate; no include decision. run_id=P1-20260825T081142Z-7f4c9b,,,,
P1-TD-DARPA-01,2026-08-25,P1,RACER ACE autonomy test robotics,darpa.mil/api/search,10,T0-TD-001;T0-TD-002;T0-TD-003;T0-TD-004;T0-TD-005;T0-TD-006,,,"Raw page includes post-cutoff, pre-window, staff, program, and timeline hits; only T0 original material entered as candidates.",raw_total=747; first 10 raw hits retained in raw_test_deployment.json; all manifest rows remain candidate; no include decision. run_id=P1-20260825T081142Z-7f4c9b,,,,
P1-TD-CSET-01,2026-08-25,P1,AI,cset.georgetown.edu/wp-json/wp/v2/document,10,T0-TD-001;T0-TD-002;T0-TD-003;T0-TD-004;T0-TD-005;T0-TD-006,,,Raw results were broad discovery hits; military test/deployment relevance was verified on original pages before candidate entry.,raw_total=10; first 10 raw hits retained in raw_test_deployment.json; all manifest rows remain candidate; no include decision. run_id=P1-20260825T081142Z-7f4c9b,,,,
P1-IR-CSET-01,2026-08-25,P1,military,cset.georgetown.edu/wp-json/wp/v2/document,10,T0-IR-001;T0-IR-002;T0-IR-003;T0-IR-004;T0-IR-005,,,"Raw results include China, policy, and non-target materials; non-target hits were not entered.",raw_total=10; first 10 raw hits retained in raw_independent_review.json; all manifest rows remain candidate; no include decision. run_id=P1-20260825T081142Z-7f4c9b,,,,
P1-IR-RAND-01,2026-08-25,P1,RAND original publication pages: military artificial intelligence,rand.org,2,T0-IR-001;T0-IR-002;T0-IR-003;T0-IR-004;T0-IR-005,,,Direct original publication pages were opened for metadata verification; no search snippet was used as material evidence.,raw_total=2; direct-page discovery records retained in raw_independent_review.json; all manifest rows remain candidate; no include decision. run_id=P1-20260825T081142Z-7f4c9b,,,,
P1B-MANUAL-INTAKE-01,2026-08-25,P1b,human-supplied manual PDF intake: six files in data/staging/t0_candidates/manual/,local_manual_staging,6,T0-SP-007;T0-SP-008;T0-IR-006;T0-PB-007;T0-IR-007;T0-IR-008,,T0-IR-008,R45178.10.pdf is explicitly the 2020-11-10 version and is background_only outside the T0 window.,Header/open/page extraction completed deterministically; no Evidence write; no OCR; run_id=P1B-20260825T140911Z-manual,P1B-20260825T140911Z-manual,manual_input,verified_pdf_intake,R45178 retained only as background; five in-window files remain candidate.
P1B-TD-ARMY-01,2026-08-25,P1b,site:army.mil AI 2024 data platform,army.mil,1,T0-TD-007,,,,Original page blocked; title/date are discovery metadata only. run_id=P1B-20260825T140911Z-manual,P1B-20260825T140911Z-manual,Google News RSS discovery plus direct original-page attempt,blocked_or_not_opened,Open the original PEO IEW&S page and record its canonical URL and exact publication date before P2.
