source_id,title,publisher,published_at,url_or_path,material_type,source_grade,possible_coding_dimensions,date_status,selection_status,inclusion_reason,exclusion_reason,local_path,content_hash,notes
T0-SP-001,"Developing Algorithms that Make Decisions Aligned with Human Experts","Defense Advanced Research Projects Agency (DARPA)",2022-03-03,https://www.darpa.mil/news/2022/algorithms-human-experts,official_program_news,A,"human_machine_authority;trust_governance_constraints;application_maturity",verified,candidate,"T0 date verified; official DARPA material directly relevant to human-AI decision alignment and trust.",,,9337c631fbe21b9c3710e6585068d2b9c4f5a0e88ac85476714dd9142cfbc879,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-SP-002,"Reducing the Risks of Artificial Intelligence for Military Decision Advantage","Center for Security and Emerging Technology (CSET), Georgetown University",2023-03-08,https://cset.georgetown.edu/publication/reducing-the-risks-of-artificial-intelligence-for-military-decision-advantage/,research_report,B,"trust_governance_constraints;human_machine_authority;application_maturity",verified,candidate,"T0 date verified; independent research directly addresses military AI decision advantage and risk controls.",,,7869967d6a82ab447591cfe0a854e2d313475984231b2b43c53d436b139cea16,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-SP-003,"DOD's Emerging Digital Workforce","Center for Security and Emerging Technology (CSET), Georgetown University",2023-10-25,https://cset.georgetown.edu/publication/dods-emerging-digital-workforce/,research_report,B,"engineering_resource_conditions;organizational_system_fit;application_maturity",verified,candidate,"T0 date verified; independent research relevant to workforce and organizational readiness for AI capability deployment.",,,aa96114423f08856cbe107a3cb8c787e4e24a2bf4667382b07f1f58092b336d4,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-SP-004,"Leading with Artificial Intelligence: Insights for U.S. Civilian and Military Leaders on Strengthening the AI Workforce","RAND Corporation",2024-10-03,https://www.rand.org/pubs/perspectives/PEA3414-1.html,research_perspective,B,"engineering_resource_conditions;organizational_system_fit;trust_governance_constraints",verified,candidate,"T0 date verified; RAND perspective directly addresses military AI leadership and workforce conditions.",,,146bdb7e64c0260dffeb5b357b9fb5f9a5572a1272100d44e1d1c3ee4ce10cbb,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-SP-005,"The Pentagon's Chief Digital and Artificial Intelligence Officer: One Year In","RAND Corporation",2023-07-27,https://www.rand.org/pubs/presentations/PTA2884-1.html,presentation,B,"organizational_system_fit;trust_governance_constraints;engineering_resource_conditions",verified,candidate,"T0 date verified; RAND analysis of the DoD CDAO role is relevant to governance and organizational fit.",,,16a3ea709feab989990bbbe3d9c8f11259d8684a7e2f42238b54a0bc175fd071,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-SP-006,"Governing AI with Existing Authorities","Center for Security and Emerging Technology (CSET), Georgetown University",2024-07-23,https://cset.georgetown.edu/publication/governing-ai-with-existing-authorities/,research_report,B,"trust_governance_constraints;authorization_boundary;responsibility",verified,candidate,"T0 date verified; independent governance research relevant to authorization and accountability boundaries.",,,73e533ae58bf96c2a5791bdc31443bbabc188291796ed411856ffd5832496e7d,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-PB-001,"DARPA Eyes Adaptive, Real-Time Processors for Future AI-Enabled Radios","Defense Advanced Research Projects Agency (DARPA)",2022-10-06,https://www.darpa.mil/news/2022/ai-enabled-radios,official_program_news,A,"engineering_resource_conditions;integration_level;application_maturity",verified,candidate,"T0 date verified; official DARPA program material relevant to AI-enabled communications and technical transition conditions.",,,e44ae62afe294287fe1eeeb57b2c57481de5dbf49ef0f067cf676075024cbde2,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-PB-002,"Class is in Session: Teams Selected to Teach AI Agents to Interact with People & Learn","Defense Advanced Research Projects Agency (DARPA)",2023-07-18,https://www.darpa.mil/news/2023/ai-agent-training,official_program_news,A,"application_maturity;human_machine_authority;engineering_resource_conditions",verified,candidate,"T0 date verified; official program-selection material relevant to AI agents and human interaction.",,,b8d3dcc8dfed180112253a46af0a17a56b90914c35a505a52dfddec1f7c66c9a,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-PB-003,"DARPA's REMA Program to Add Mission Autonomy to Commercial Drones","Defense Advanced Research Projects Agency (DARPA)",2024-02-08,https://www.darpa.mil/news/2024/mission-autonomy,official_program_news,A,"application_maturity;integration_level;human_machine_authority;engineering_resource_conditions",verified,candidate,"T0 date verified; official program announcement relevant to mission autonomy and transition from commercial platforms.",,,68420515e18e7e7c3bf023254b23e8ac96f277c2f59f950210a0ea2d5d3c3a16,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-PB-004,"U.S. and Chinese Military AI Purchases","Center for Security and Emerging Technology (CSET), Georgetown University",2023-08-15,https://cset.georgetown.edu/publication/u-s-and-chinese-military-ai-purchases/,research_report,B,"engineering_resource_conditions;budget;procurement_deployment;application_maturity",verified,candidate,"T0 date verified; independent research directly relevant to military AI purchasing and procurement patterns.",,,3d2349df8b82c4182d46fbe86694757b341690cb95c8cd2dc44e4bde89a2df6c,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
T0-PB-005,"Tracking Industry in Government Contracts","Center for Security and Emerging Technology (CSET), Georgetown University",2023-07-19,https://cset.georgetown.edu/publication/tracking-industry-in-government-contracts/,research_report,B,"budget;procurement_deployment;supply_chain;organizational_system_fit",verified,candidate,"T0 date verified; independent contract-data research relevant to acquisition and industrial participation.",,,f78775f05506869c479cef30944db775a3b4f0c250d813222ec7a2d665676ac2,"Original webpage opened; metadata only; no excerpt or formal Evidence extracted."
