source_id,title,published_at,source_grade,verification_status,full_text_status,hash_scope,canonical_url,capture_type,p2_eligibility,selection_status,review_decision,reviewer,review_mode,not_for_expert_evaluation,reviewed_at,review_reason,p2_disposition
T0-SP-001,Developing Algorithms that Make Decisions Aligned with Human Experts,2022-03-03,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2022/algorithms-human-experts,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-SP-002,Reducing the Risks of Artificial Intelligence for Military Decision Advantage,2023-03-08,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/reducing-the-risks-of-artificial-intelligence-for-military-decision-advantage/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-SP-003,DOD's Emerging Digital Workforce,2023-10-25,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/dods-emerging-digital-workforce/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-SP-004,Leading with Artificial Intelligence: Insights for U.S. Civilian and Military Leaders on Strengthening the AI Workforce,2024-10-03,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.rand.org/pubs/perspectives/PEA3414-1.html,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-SP-005,The Pentagon's Chief Digital and Artificial Intelligence Officer: One Year In,2023-07-27,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.rand.org/pubs/presentations/PTA2884-1.html,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-SP-006,Governing AI with Existing Authorities,2024-07-23,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/governing-ai-with-existing-authorities/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-PB-001,"DARPA Eyes Adaptive, Real-Time Processors for Future AI-Enabled Radios",2022-10-06,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2022/ai-enabled-radios,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-PB-002,Class is in Session: Teams Selected to Teach AI Agents to Interact with People & Learn,2023-07-18,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2023/ai-agent-training,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
T0-PB-003,DARPA's REMA Program to Add Mission Autonomy to Commercial Drones,2024-02-08,A,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://www.darpa.mil/news/2024/mission-autonomy,original_webpage_metadata_only,pending_human_review,candidate,include,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,DARPA官方项目材料，日期和原文可核验，直接描述任务自主能力项目，补充项目层面的能力成熟度信息。,formal_selected
T0-PB-004,U.S. and Chinese Military AI Purchases,2023-08-15,B,metadata_verified_original_page,not_captured_p1,source_response_metadata_only,https://cset.georgetown.edu/publication/u-s-and-chinese-military-ai-purchases/,original_webpage_metadata_only,pending_human_review,candidate,exclude,author_pilot,author_pilot,true,2026-08-25T15:44:32Z,不代表材料内容错误；因直接性、信息增量或最小样本配额未进入本次正式证据池。,not_selected_minimal_sample
