evidence_id,source_id,source_locator,evidence_nature,normalized_claim,coding_dimensions,excerpt_original,excerpt_zh,pending_visual_review,pending_translation_review,ai_recommendation,final_decision,final_nature,final_dimensions,human_corrected_excerpt,reviewer,reviewed_at,review_note
EV-T0-DB1424F52E33432F,T0-IR-006,pdf_page_20,test_event,联合后勤任务倡议团队使用历史维护数据训练AI模型，以预测超出正常时长的维护周期，初始模型于2021年2月11日进行了演示。,"[""application_maturity"", ""engineering_resource_conditions""]","The Joint Logistics Mission Initiative team is using historic maintenance data to train AI models to predict these longer than normal maintenance periods. The initial logistics model was demonstrated on February 11, 2021.",联合后勤任务倡议团队正在使用历史维护数据来训练AI模型，以预测这些比正常时间更长的维护周期。初始后勤模型已于2021年2月11日进行了演示。,False,True,candidate_only,,,,,,,
EV-T0-5FA6E8C23AC72A82,T0-IR-006,pdf_page_30,goal,JAIC的工作重点正从采用AI能力转向整合。,"[""integration_level""]","According to the Director of the JAIC, the updated DOD AI Strategy is needed as the JAIC shifts its focus from adoption of AI capabilities to integration.",根据JAIC主任的说法，需要更新DOD AI战略，因为JAIC正将其重点从采用AI能力转向整合。,False,True,candidate_only,,,,,,,
EV-T0-B1673A0975D16CA9,T0-IR-006,pdf_page_44,goal,JAIC旨在通过联合通用基金会提供安全空间，供国防部组织共享构建、测试和部署AI应用所需的数据和算法。,"[""engineering_resource_conditions""]","Through the Joint Common Foundation, the JAIC aims to eliminate duplicative efforts and reduce the challenges to initial AI adoption by providing a secure space where DOD organizations can share data and algorithms needed to build, test, and field AI applications.",通过联合通用基金会，JAIC旨在消除重复工作并降低初始采用AI的挑战，为国防部各组织提供一个安全的空间，以共享构建、测试和部署AI应用所需的数据和算法。,False,True,candidate_only,,,,,,,
EV-T0-7E37FBD511FC654E,T0-IR-006,pdf_page_45,goal,根据国防部文件，联合通用基金会将把不同的AI应用整合到一个单一平台下，并在整个部门扩展AI。,"[""integration_level""]","According to DOD documentation, the Joint Common Foundation will bring disparate AI applications under a single platform and scale AI across the department.",根据国防部文件，联合通用基金会将把不同的AI应用整合到一个单一平台下，并在整个部门扩展AI。,False,True,candidate_only,,,,,,,
EV-T0-00FCD33BA877C8BA,T0-IR-006,pdf_page_52,goal,2021年6月，国防部副部长发布备忘录，设立AI与数据加速计划，通过一系列实施实验或演习来快速推进AI实施工作。,"[""application_maturity""]","In June 2021, the Deputy Secretary of Defense issued a memorandum establishing the AI and Data Acceleration initiative to rapidly advance AI implementation efforts through a series of implementation experiments or exercises.",2021年6月，国防部副部长发布备忘录，设立AI与数据加速计划，通过一系列实施实验或演习来快速推进AI实施工作。,False,True,candidate_only,,,,,,,
EV-T0-1D827623351A7C55,T0-IR-006,pdf_page_82,deployment_event,国防部文件表明，任何持有通用访问卡的国防部用户均可加入联合通用基金会，利用其服务构建人工智能解决方案。,"[""engineering_resource_conditions""]","According to DOD documentation, any DOD user with a Common Access Card can join the Joint Common Foundation to leverage these services and start building AI solutions for their respective domains.",根据国防部文件，任何持有通用访问卡的国防部用户都可以加入联合通用基金会，利用这些服务并开始为其各自领域构建人工智能解决方案。,False,True,candidate_only,,,,,,,
EV-T0-DBEF932E1A5AD575,T0-IR-006,pdf_page_82,deployment_event,JAIC官员表示，联合通用基金会于2021年3月实现了非机密能力的初始作战能力。,"[""application_maturity"", ""engineering_resource_conditions""]",JAIC officials told us that initial operational capability of the Joint Common Foundation was achieved in March 2021 with unclassified capabilities.,JAIC官员告诉我们，联合通用基金会的初始作战能力已于2021年3月以非机密能力实现。,False,True,candidate_only,,,,,,,
EV-T0-9C79EF2837BC80A2,T0-PB-003,web_paragraph_0009,goal,REMA项目旨在使无人机在失去与操作员连接时自主继续其预定义任务。,"[""human_machine_authority""]",DARPA’s Rapid Experimental Missionized Autonomy (REMA) program aims to enable a drone to autonomously continue its predefined mission when connection to the operator is lost.,DARPA的快速实验任务化自主（REMA）项目旨在使无人机在失去与操作员连接时自主继续其预定义任务。,False,True,candidate_only,,,,,,,
EV-T0-9263A423CF1D437F,T0-PB-003,web_paragraph_0012,goal,REMA项目专注于创建自主解决方案，以最大化现役商用和小型军用无人机在战场上的效能。,"[""application_maturity""]",REMA is focused on creating autonomous solutions to maximize effectiveness of stock commercial and small military drones on the battlefield,REMA专注于创建自主解决方案，以最大化现役商用和小型军用无人机在战场上的效能。,False,True,candidate_only,,,,,,,
EV-T0-C86CE008843D093B,T0-PB-003,web_paragraph_0013,goal,REMA项目为期18个月，分为无人机自主适配器接口和任务特定自主软件两个技术领域。,"[""engineering_resource_conditions""]","The 18-month, single-phase program is divided into two technical areas: 1) A drone-autonomy adapter interface and 2) mission-specific autonomy software.",这个为期18个月的单阶段项目分为两个技术领域：1）无人机自主适配器接口和2）任务特定自主软件。,False,True,candidate_only,,,,,,,
EV-T0-772E45D0B54BCC9C,T0-PB-003,web_paragraph_0014,deployment_event,REMA项目已将无人机自主适配器接口合同授予Anduril和RTX，将任务特定自主软件合同授予Leidos、Northrop Grumman和SoarTech。,"[""engineering_resource_conditions""]","Contracts for the drone-autonomy adapter interface technical area have been awarded to Anduril and RTX. Contracts for the mission-specific autonomy software technical area have been awarded to Leidos, Northrop Grumman, and SoarTech.",无人机自主适配器接口技术领域的合同已授予Anduril和RTX。任务特定自主软件技术领域的合同已授予Leidos、Northrop Grumman和SoarTech。,False,True,candidate_only,,,,,,,
EV-T0-8E35B508DF5C2E65,T0-PB-007,pdf_page_2,goal,截至2023年6月，美国国防部正在规划制定全部门范围的人工智能采办指导方针，但尚未确定具体计划和时间表。,"[""trust_governance_constraints""]","DOD is in the process of planning to develop such guidance, but it has not defined concrete plans and has no timeline to do so.",国防部正在计划制定此类指导方针，但尚未确定具体计划，也没有时间表。,False,True,candidate_only,,,,,,,
EV-T0-357C993D92C95187,T0-PB-007,pdf_page_13,deployment_event,截至2023年6月，美国国防部首席数字与人工智能官负责监管名为Tradewind的人工智能市场，该市场旨在加快人工智能能力的采购。,"[""organizational_system_fit""]","The Chief Digital and AI Officer oversees an AI marketplace known as Tradewind, which brings together DOD end users, private sector companies, and academia to expedite the procurement of AI capabilities.",首席数字与人工智能官负责监管一个名为Tradewind的人工智能市场，该市场汇集了国防部最终用户、私营公司和学术界，以加快人工智能能力的采购。,False,True,candidate_only,,,,,,,
EV-T0-F25379FE058D2680,T0-PB-007,pdf_page_13,deployment_event,Tradewind下的首批协议于2021年初授予，美国国防部预计在2023财年通过Tradewind授予数十个协议。,"[""engineering_resource_conditions""]","According to an official from the Office of the Under Secretary of Defense for Acquisition and Sustainment, the first agreements under Tradewind were awarded in early 2021, and the department expects to make dozens of awards via Tradewind in fiscal year 2023.",据国防部采办与保障副部长办公室的一名官员称，Tradewind下的首批协议于2021年初授予，国防部预计在2023财年通过Tradewind授予数十个协议。,False,True,candidate_only,,,,,,,
EV-T0-27EE6FA7DA2FADC0,T0-PB-007,pdf_page_26,goal,国防部副部长在2022年2月的备忘录中指定首席数字与人工智能官负责领导和监督国防部数据、分析和人工智能的战略制定与政策拟定。,"[""organizational_system_fit""]","The Deputy Secretary of Defense stated in the February 2022 memorandum that the Chief Digital and AI Officer will lead and oversee DOD’s strategy development and policy formulation for data, analytics, and AI.",国防部副部长在2022年2月的备忘录中表示，首席数字与人工智能官将领导和监督国防部数据、分析和人工智能的战略制定与政策拟定。,False,True,candidate_only,,,,,,,
EV-T0-0405886E04C205A6,T0-PB-007,pdf_page_27,resource_input,国防部在2023财年为核心人工智能申请了11亿美元预算。,"[""engineering_resource_conditions""]",given that DOD is investing considerable effort and funds toward developing and acquiring AI tools and capabilities and requested $1.1 billion for core AI in fiscal year 2023,鉴于国防部正在投入大量精力和资金用于开发和采购人工智能工具与能力，并在2023财年为核心人工智能申请了11亿美元。,False,True,candidate_only,,,,,,,
